locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOBIDPDJ_02031	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
HOBIDPDJ_02032	CDS	711	sfsA		COG1489	Sugar fermentation stimulation protein A
HOBIDPDJ_02033	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
HOBIDPDJ_02034	CDS	306				hypothetical protein
HOBIDPDJ_02035	CDS	1341	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
HOBIDPDJ_02036	CDS	498	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
HOBIDPDJ_02037	CDS	792	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
HOBIDPDJ_02038	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
HOBIDPDJ_02039	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
HOBIDPDJ_02040	CDS	633	uhpA		COG2197	Transcriptional regulatory protein UhpA
HOBIDPDJ_02041	CDS	1548	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
HOBIDPDJ_02042	CDS	1338	uhpC_1		COG2271	Membrane sensor protein UhpC
HOBIDPDJ_02043	CDS	1032			COG1840	putative protein
HOBIDPDJ_02044	CDS	2079				hypothetical protein
HOBIDPDJ_02045	CDS	1041	ugpC_2	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
HOBIDPDJ_02046	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
HOBIDPDJ_02047	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
HOBIDPDJ_02048	CDS	945	dsdC		COG0583	HTH-type transcriptional regulator DsdC
HOBIDPDJ_02049	CDS	1878	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
HOBIDPDJ_02050	CDS	297				hypothetical protein
HOBIDPDJ_02051	CDS	702				hypothetical protein
HOBIDPDJ_02052	CDS	480	hcpA_2		COG3157	Major exported protein
HOBIDPDJ_02053	CDS	558	tpd		COG3470	34 kDa membrane antigen
HOBIDPDJ_02054	CDS	348				hypothetical protein
HOBIDPDJ_02055	CDS	837	efeU		COG0672	Ferrous iron permease EfeU
HOBIDPDJ_02056	CDS	924				hypothetical protein
HOBIDPDJ_02057	CDS	1269	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
HOBIDPDJ_02058	CDS	690	xynR		COG1414	HTH-type transcriptional regulator XynR
HOBIDPDJ_02059	CDS	2337	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
HOBIDPDJ_02060	CDS	552	dmsB_3		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
HOBIDPDJ_02061	CDS	813				hypothetical protein
HOBIDPDJ_02062	CDS	561				hypothetical protein
HOBIDPDJ_02063	CDS	966	htpX_2	3.4.24.-	COG0501	Protease HtpX 
HOBIDPDJ_02064	CDS	183	ydcY			putative protein YdcY
HOBIDPDJ_02065	CDS	1230	naiP			Putative niacin/nicotinamide transporter NaiP
HOBIDPDJ_02066	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
HOBIDPDJ_02067	CDS	942	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
HOBIDPDJ_02068	CDS	654	can	4.2.1.1	COG0288	Carbonic anhydrase 2
HOBIDPDJ_02069	CDS	543	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
HOBIDPDJ_02070	CDS	1581	cueO		COG2132	Blue copper oxidase CueO
HOBIDPDJ_02071	CDS	351				hypothetical protein
HOBIDPDJ_02072	CDS	1041				hypothetical protein
HOBIDPDJ_02073	CDS	411				hypothetical protein
HOBIDPDJ_02074	CDS	1416				hypothetical protein
HOBIDPDJ_02075	CDS	633	dauR_2		COG2964	Transcriptional regulator DauR
HOBIDPDJ_02076	CDS	636	betI_4			HTH-type transcriptional regulator BetI
HOBIDPDJ_02077	CDS	1212				hypothetical protein
HOBIDPDJ_02078	CDS	828				hypothetical protein
HOBIDPDJ_02079	CDS	900	ddh	1.4.1.16		Meso-diaminopimelate D-dehydrogenase
HOBIDPDJ_02080	CDS	1341	yeeO		COG0534	putative FMN/FAD exporter YeeO
HOBIDPDJ_02081	CDS	642				hypothetical protein
HOBIDPDJ_02082	CDS	1254	pepT_2	3.4.11.4	COG2195	Peptidase T
HOBIDPDJ_02083	CDS	1368	dcuD_1		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
HOBIDPDJ_02084	CDS	1323				hypothetical protein
HOBIDPDJ_02085	CDS	978	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
HOBIDPDJ_02086	CDS	207				hypothetical protein
HOBIDPDJ_02087	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
HOBIDPDJ_02088	CDS	606	recR		COG0353	Recombination protein RecR
HOBIDPDJ_02089	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
HOBIDPDJ_02090	CDS	1977	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
HOBIDPDJ_02091	CDS	564	apt	2.4.2.7		Adenine phosphoribosyltransferase
HOBIDPDJ_02092	CDS	543	priC		COG3923	Primosomal replication protein N''
HOBIDPDJ_02093	CDS	156				hypothetical protein
HOBIDPDJ_02094	CDS	3429	mscK		COG3264	Mechanosensitive channel MscK
HOBIDPDJ_02095	CDS	354	ychN		COG1553	Protein YchN
HOBIDPDJ_02096	CDS	645	acrR		COG1309	HTH-type transcriptional regulator AcrR
HOBIDPDJ_02097	CDS	1191	acrA			Multidrug efflux pump subunit AcrA
HOBIDPDJ_02098	CDS	3159	acrB		COG0841	Multidrug efflux pump subunit AcrB
HOBIDPDJ_02099	CDS	363	tomB			Hha toxicity modulator TomB
HOBIDPDJ_02100	CDS	204	ymoA			Modulating protein YmoA
HOBIDPDJ_02101	CDS	258				hypothetical protein
HOBIDPDJ_02102	CDS	876	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
HOBIDPDJ_02103	CDS	1299	amtB			Ammonia channel
HOBIDPDJ_02104	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
HOBIDPDJ_02105	CDS	1788	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
HOBIDPDJ_02106	CDS	1746	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
HOBIDPDJ_02107	CDS	462	decR		COG1522	DNA-binding transcriptional activator DecR
HOBIDPDJ_02108	CDS	699	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
HOBIDPDJ_02109	CDS	408	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
HOBIDPDJ_02110	CDS	366				hypothetical protein
HOBIDPDJ_02111	CDS	1878	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
HOBIDPDJ_02112	CDS	276	hupB_2		COG0776	DNA-binding protein HU-beta
HOBIDPDJ_02113	CDS	2355	lon_2	3.4.21.53	COG0466	Lon protease
HOBIDPDJ_02114	CDS	1272	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
HOBIDPDJ_02115	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
HOBIDPDJ_02116	CDS	1305	tig	5.2.1.8	COG0544	Trigger factor
HOBIDPDJ_02117	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
HOBIDPDJ_02118	CDS	579				hypothetical protein
HOBIDPDJ_02119	CDS	1521	ampG_1		COG0477	Anhydromuropeptide permease
HOBIDPDJ_02120	CDS	1374	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
HOBIDPDJ_02121	CDS	708				hypothetical protein
HOBIDPDJ_02122	CDS	942	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
HOBIDPDJ_02123	CDS	1983	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
HOBIDPDJ_02124	CDS	612	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
HOBIDPDJ_02125	CDS	333	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
HOBIDPDJ_02126	CDS	885	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
HOBIDPDJ_02127	CDS	1371	yajR		COG0477	Inner membrane transport protein YajR
HOBIDPDJ_02128	CDS	564				hypothetical protein
HOBIDPDJ_02129	CDS	921	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
HOBIDPDJ_02130	CDS	618	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
HOBIDPDJ_02131	CDS	582				hypothetical protein
HOBIDPDJ_02132	CDS	381				hypothetical protein
HOBIDPDJ_02133	CDS	1452	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
HOBIDPDJ_02134	CDS	264	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
HOBIDPDJ_02135	CDS	924	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
HOBIDPDJ_02136	CDS	1875	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
HOBIDPDJ_02137	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
HOBIDPDJ_02138	CDS	1509	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
HOBIDPDJ_02139	CDS	966	rbsC		COG1172	Ribose import permease protein RbsC
HOBIDPDJ_02140	CDS	891	rbsB		COG1879	Ribose import binding protein RbsB
HOBIDPDJ_02141	CDS	927	rbsK_3	2.7.1.15	COG0524	Ribokinase
HOBIDPDJ_02142	CDS	999	rbsR_2		COG1609	Ribose operon repressor
HOBIDPDJ_02143	CDS	243				hypothetical protein
HOBIDPDJ_02144	CDS	336				hypothetical protein
HOBIDPDJ_02145	CDS	981	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
HOBIDPDJ_02146	CDS	414	nusB		COG0781	Transcription antitermination protein NusB
HOBIDPDJ_02147	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
HOBIDPDJ_02148	CDS	1158	ribD		COG0117	Riboflavin biosynthesis protein RibD
HOBIDPDJ_02149	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
HOBIDPDJ_02150	CDS	969	secF		COG0341	Protein translocase subunit SecF
HOBIDPDJ_02151	CDS	1815	secD		COG0342	Protein translocase subunit SecD
HOBIDPDJ_02152	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
HOBIDPDJ_02153	CDS	1143	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
HOBIDPDJ_02154	CDS	1074	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
HOBIDPDJ_02155	CDS	588	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
HOBIDPDJ_02156	CDS	603	ahpC_2	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
HOBIDPDJ_02157	CDS	1761	ggt	3.4.19.13		Glutathione hydrolase proenzyme
HOBIDPDJ_02158	CDS	630	ydhY		COG0437	putative ferredoxin-like protein YdhY
HOBIDPDJ_02159	CDS	2103	ydhV	1.-.-.-	COG2414	putative oxidoreductase YdhV
HOBIDPDJ_02160	CDS	714	ydhW			putative protein YdhW
HOBIDPDJ_02161	CDS	672	ydhX		COG0437	putative ferredoxin-like protein YdhX
HOBIDPDJ_02162	CDS	798	ydhU		COG4117	Putative cytochrome YdhU
HOBIDPDJ_02163	CDS	957	ydhT			putative protein YdhT
HOBIDPDJ_02164	CDS	483				hypothetical protein
HOBIDPDJ_02165	CDS	927				hypothetical protein
HOBIDPDJ_02166	CDS	927				hypothetical protein
HOBIDPDJ_02167	CDS	294				hypothetical protein
HOBIDPDJ_02168	CDS	1287				hypothetical protein
HOBIDPDJ_02169	CDS	1338	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
HOBIDPDJ_02170	CDS	1293	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
HOBIDPDJ_02171	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
HOBIDPDJ_02172	CDS	1233	sbcD		COG0420	Nuclease SbcCD subunit D
HOBIDPDJ_02173	CDS	3726				hypothetical protein
HOBIDPDJ_02174	CDS	600				hypothetical protein
HOBIDPDJ_02175	CDS	1623	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
HOBIDPDJ_02176	CDS	777				hypothetical protein
HOBIDPDJ_02177	CDS	1956	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
HOBIDPDJ_02178	CDS	1194				hypothetical protein
HOBIDPDJ_02179	CDS	909	rdgC		COG2974	Recombination-associated protein RdgC
HOBIDPDJ_02180	CDS	243	yedF		COG0425	Putative sulfur carrier protein YedF
HOBIDPDJ_02181	CDS	1227				hypothetical protein
HOBIDPDJ_02182	CDS	1020	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
HOBIDPDJ_02183	CDS	1137	hypD		COG0409	Hydrogenase maturation factor HypD
HOBIDPDJ_02184	CDS	267	hybG		COG0298	Hydrogenase maturation factor HybG
HOBIDPDJ_02185	CDS	1185	ureG_1			Urease accessory protein UreG
HOBIDPDJ_02186	CDS	495	hybE			Hydrogenase-2 operon protein HybE
HOBIDPDJ_02187	CDS	489	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
HOBIDPDJ_02188	CDS	1704	hybC	1.12.99.6	COG0374	Hydrogenase-2 large chain
HOBIDPDJ_02189	CDS	1182	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
HOBIDPDJ_02190	CDS	1014	fdoH_2		COG0437	Formate dehydrogenase-O iron-sulfur subunit
HOBIDPDJ_02191	CDS	1125	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
HOBIDPDJ_02192	CDS	111				hypothetical protein
HOBIDPDJ_02193	CDS	429	exbD		COG0848	Biopolymer transport protein ExbD
HOBIDPDJ_02194	CDS	1011	tolQ_1			Tol-Pal system protein TolQ
HOBIDPDJ_02195	CDS	1194	metC_1	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
HOBIDPDJ_02196	CDS	672	yghB		COG0586	Inner membrane protein YghB
HOBIDPDJ_02197	CDS	783	cmoM_1	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
HOBIDPDJ_02198	CDS	1158	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
HOBIDPDJ_02199	CDS	831	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
HOBIDPDJ_02200	CDS	7077				hypothetical protein
HOBIDPDJ_02201	CDS	3228	carB_2	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
HOBIDPDJ_02202	CDS	1164	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
HOBIDPDJ_02203	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
HOBIDPDJ_02204	CDS	954	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
HOBIDPDJ_02205	CDS	471	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
HOBIDPDJ_02206	CDS	516	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
HOBIDPDJ_02207	CDS	2811	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
HOBIDPDJ_02208	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
HOBIDPDJ_02209	CDS	261	rpsT		COG0268	30S ribosomal protein S20
HOBIDPDJ_02210	CDS	918	nhaR		COG0583	Transcriptional activator protein NhaR
HOBIDPDJ_02211	CDS	1179	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
HOBIDPDJ_02212	CDS	1137	dnaJ		COG0484	Chaperone protein DnaJ
HOBIDPDJ_02213	CDS	1926	dnaK_2		COG0443	Chaperone protein DnaK
HOBIDPDJ_02214	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
HOBIDPDJ_02215	CDS	984	esiB			Secretory immunoglobulin A-binding protein EsiB
HOBIDPDJ_02216	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
HOBIDPDJ_02217	CDS	786	yaaA		COG3022	Peroxide stress resistance protein YaaA
HOBIDPDJ_02218	CDS	8331				hypothetical protein
HOBIDPDJ_02219	CDS	1293	thrC	4.2.3.1	COG0498	Threonine synthase
HOBIDPDJ_02220	CDS	930	thrB	2.7.1.39		Homoserine kinase
HOBIDPDJ_02221	CDS	2460	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
HOBIDPDJ_02222	CDS	717	arcA		COG0745	Aerobic respiration control protein ArcA
HOBIDPDJ_02223	CDS	477				hypothetical protein
HOBIDPDJ_02224	CDS	903	rob_4		COG2207	Right origin-binding protein
HOBIDPDJ_02225	CDS	648	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
HOBIDPDJ_02226	CDS	540	yjjX	3.6.1.-	COG1986	Inosine/xanthosine triphosphatase
HOBIDPDJ_02227	CDS	312	trpR		COG2973	Trp operon repressor
HOBIDPDJ_02228	CDS	1920	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
HOBIDPDJ_02229	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
HOBIDPDJ_02230	CDS	792				hypothetical protein
HOBIDPDJ_02231	CDS	549	fecI		COG1595	putative RNA polymerase sigma factor FecI
HOBIDPDJ_02232	CDS	1014	fecR		COG3712	Protein FecR
HOBIDPDJ_02233	CDS	2751				hypothetical protein
HOBIDPDJ_02234	CDS	1710	yddA		COG4178	Inner membrane ABC transporter ATP-binding protein YddA
HOBIDPDJ_02235	CDS	2799				hypothetical protein
HOBIDPDJ_02236	CDS	417				hypothetical protein
HOBIDPDJ_02237	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
HOBIDPDJ_02238	CDS	1254	sstT		COG3633	Serine/threonine transporter SstT
HOBIDPDJ_02239	CDS	669	yqjA		COG0586	Inner membrane protein YqjA
HOBIDPDJ_02240	CDS	306	yqjD		COG4575	putative protein YqjD
HOBIDPDJ_02241	CDS	411	yqjE		COG5393	Inner membrane protein YqjE
HOBIDPDJ_02242	CDS	306				hypothetical protein
HOBIDPDJ_02243	CDS	393	yqjF		COG2259	Inner membrane protein YqjF
HOBIDPDJ_02244	CDS	903	yhaJ_2			HTH-type transcriptional regulator YhaJ
HOBIDPDJ_02245	CDS	705	yhaK		COG1741	Pirin-like protein YhaK
HOBIDPDJ_02246	CDS	879	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
HOBIDPDJ_02247	CDS	1767	lpoA		COG3107	Penicillin-binding protein activator LpoA
HOBIDPDJ_02248	CDS	378				hypothetical protein
HOBIDPDJ_02249	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
HOBIDPDJ_02250	CDS	579	osmY_1		COG2823	Osmotically-inducible protein Y
HOBIDPDJ_02251	CDS	618	ureG_2		COG0378	Urease accessory protein UreG
HOBIDPDJ_02252	CDS	666	ureF		COG0830	Urease accessory protein UreF
HOBIDPDJ_02253	CDS	486	ureE			Urease accessory protein UreE
HOBIDPDJ_02254	CDS	1704	ureC	3.5.1.5	COG0804	Urease subunit alpha
HOBIDPDJ_02255	CDS	327	ureB	3.5.1.5	COG0832	Urease subunit beta
HOBIDPDJ_02256	CDS	303	ureA	3.5.1.5	COG0831	Urease subunit gamma
HOBIDPDJ_02257	CDS	825	ureD		COG0829	Urease accessory protein UreD
HOBIDPDJ_02258	CDS	816	ureR		COG2207	Urease operon transcriptional activator
HOBIDPDJ_02259	CDS	702	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
HOBIDPDJ_02260	CDS	714	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
HOBIDPDJ_02261	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
HOBIDPDJ_02262	CDS	4458	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
HOBIDPDJ_02263	CDS	1398	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
HOBIDPDJ_02264	CDS	1275	dcuD_2		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
HOBIDPDJ_02265	CDS	1266	iaaH	3.5.1.-		Indole-3-acetyl-aspartic acid hydrolase
HOBIDPDJ_02266	CDS	1026				hypothetical protein
HOBIDPDJ_02267	CDS	510				hypothetical protein
HOBIDPDJ_02268	CDS	642	sspA		COG0625	Stringent starvation protein A
HOBIDPDJ_02269	CDS	393	rpsI		COG0103	30S ribosomal protein S9
HOBIDPDJ_02270	CDS	429	rplM		COG0102	50S ribosomal protein L13
HOBIDPDJ_02271	CDS	1119	zapE		COG1485	Cell division protein ZapE
HOBIDPDJ_02272	CDS	405	yhcB		COG3105	Inner membrane protein YhcB
HOBIDPDJ_02273	CDS	1392	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
HOBIDPDJ_02274	CDS	1071	degS	3.4.21.107	COG0265	Serine endoprotease DegS
HOBIDPDJ_02275	CDS	1050				hypothetical protein
HOBIDPDJ_02276	CDS	912				hypothetical protein
HOBIDPDJ_02277	CDS	1305				hypothetical protein
HOBIDPDJ_02278	CDS	1263	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
HOBIDPDJ_02279	CDS	255	ibaG		COG5007	Acid stress protein IbaG
HOBIDPDJ_02280	CDS	294	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
HOBIDPDJ_02281	CDS	630	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
HOBIDPDJ_02282	CDS	537	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
HOBIDPDJ_02283	CDS	780	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
HOBIDPDJ_02284	CDS	813	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
HOBIDPDJ_02285	CDS	981	yrbG		COG0530	Inner membrane protein YrbG
HOBIDPDJ_02286	CDS	975	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
HOBIDPDJ_02287	CDS	558	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
HOBIDPDJ_02288	CDS	579	lptC		COG3117	Lipopolysaccharide export system protein LptC
HOBIDPDJ_02289	CDS	534	lptA		COG1934	Lipopolysaccharide export system protein LptA
HOBIDPDJ_02290	CDS	726	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
HOBIDPDJ_02291	CDS	1476	rpoN		COG1508	RNA polymerase sigma-54 factor
HOBIDPDJ_02292	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
HOBIDPDJ_02293	CDS	450	ptsN		COG1762	Nitrogen regulatory protein
HOBIDPDJ_02294	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
HOBIDPDJ_02295	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
HOBIDPDJ_02296	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
HOBIDPDJ_02297	CDS	1329	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
HOBIDPDJ_02298	CDS	561				hypothetical protein
HOBIDPDJ_02299	CDS	282	yhcO		COG2732	putative protein YhcO
HOBIDPDJ_02300	CDS	507		3.1.27.-		Ribonuclease
HOBIDPDJ_02301	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
HOBIDPDJ_02302	CDS	861	nit1	3.5.1.128		Deaminated glutathione amidase
HOBIDPDJ_02303	CDS	3804				hypothetical protein
HOBIDPDJ_02304	CDS	1470	rng	3.1.26.-	COG1530	Ribonuclease G
HOBIDPDJ_02305	CDS	588	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
HOBIDPDJ_02306	CDS	495	mreD		COG2891	Rod shape-determining protein MreD
HOBIDPDJ_02307	CDS	1047	mreC		COG1792	Cell shape-determining protein MreC
HOBIDPDJ_02308	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
HOBIDPDJ_02309	CDS	975	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
HOBIDPDJ_02310	CDS	444	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
HOBIDPDJ_02311	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
HOBIDPDJ_02312	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
HOBIDPDJ_02313	CDS	249	yhdT		COG3924	putative membrane protein YhdT
HOBIDPDJ_02314	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
HOBIDPDJ_02315	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
HOBIDPDJ_02316	CDS	972	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
HOBIDPDJ_02317	CDS	297	fis		COG2901	DNA-binding protein Fis
HOBIDPDJ_02318	CDS	1662				hypothetical protein
HOBIDPDJ_02319	CDS	354				hypothetical protein
HOBIDPDJ_02320	CDS	165				hypothetical protein
HOBIDPDJ_02321	CDS	447				hypothetical protein
HOBIDPDJ_02322	CDS	318				hypothetical protein
HOBIDPDJ_02323	CDS	342				hypothetical protein
HOBIDPDJ_02324	CDS	1221				hypothetical protein
HOBIDPDJ_02325	CDS	555				hypothetical protein
HOBIDPDJ_02326	CDS	1152				hypothetical protein
HOBIDPDJ_02327	CDS	531				hypothetical protein
HOBIDPDJ_02328	CDS	2328				hypothetical protein
HOBIDPDJ_02329	CDS	321				hypothetical protein
HOBIDPDJ_02330	CDS	171				hypothetical protein
HOBIDPDJ_02331	CDS	198				hypothetical protein
HOBIDPDJ_02332	CDS	177				hypothetical protein
HOBIDPDJ_02333	CDS	183				hypothetical protein
HOBIDPDJ_02334	CDS	141				hypothetical protein
HOBIDPDJ_02335	CDS	282				hypothetical protein
HOBIDPDJ_02336	CDS	237				hypothetical protein
HOBIDPDJ_02337	CDS	198	bfd		COG2906	Bacterioferritin-associated ferredoxin
HOBIDPDJ_02338	CDS	474	bfr	1.16.3.1	COG2193	Bacterioferritin
HOBIDPDJ_02339	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
HOBIDPDJ_02340	CDS	630	rplC		COG0087	50S ribosomal protein L3
HOBIDPDJ_02341	CDS	606	rplD		COG0088	50S ribosomal protein L4
HOBIDPDJ_02342	CDS	303	rplW		COG0089	50S ribosomal protein L23
HOBIDPDJ_02343	CDS	825	rplB		COG0090	50S ribosomal protein L2
HOBIDPDJ_02344	CDS	279	rpsS		COG0185	30S ribosomal protein S19
HOBIDPDJ_02345	CDS	333	rplV		COG0091	50S ribosomal protein L22
HOBIDPDJ_02346	CDS	702	rpsC		COG0092	30S ribosomal protein S3
HOBIDPDJ_02347	CDS	411	rplP		COG0197	50S ribosomal protein L16
HOBIDPDJ_02348	CDS	192	rpmC		COG0255	50S ribosomal protein L29
HOBIDPDJ_02349	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
HOBIDPDJ_02350	CDS	372	rplN		COG0093	50S ribosomal protein L14
HOBIDPDJ_02351	CDS	315	rplX		COG0198	50S ribosomal protein L24
HOBIDPDJ_02352	CDS	540	rplE		COG0094	50S ribosomal protein L5
